CUSTOMERID,FREQUENCY,MONETARY,RECENCYDAYS,AVERAGEORDERVALUE
13347,1,341.36,70,341.36
12611,1,1193.32,52,1193.32
15853,1,110.8,51,110.8
13832,1,52.2,19,52.2
15857,1,297,18,297
15097,1,248.08,4,248.08
14762,1,300.52,263,300.52
15437,1,200.16,262,200.16
16627,1,322.8,79,322.8
14799,1,157.7,51,157.7
17420,3,598.83,50,199.61
16125,1,289.35,367,289.35
15547,14,4954.84,7,353.92
13564,3,1749.02,144,583.01
12735,2,779.57,315,389.79
14368,1,155,319,155
18239,5,1561.61,218,312.32
13494,1,316.26,311,316.26
17114,8,808.62,5,101.08
12980,9,7374.9,157,819.43
15687,9,2993.1,8,332.57
14796,17,8022.49,1,471.91
14659,9,2529.93,8,281.1
16960,3,507.05,38,169.02
14701,9,2549.37,10,283.26
14961,9,7044.68,10,782.74
16180,8,10254.18,100,1281.77
16094,4,1078.23,11,269.56
16621,4,813.48,51,203.37
14078,6,1049.37,101,174.9
18008,9,2116.19,70,235.13
12562,7,3781.74,8,540.25
16889,3,1578.67,194,526.22
17994,4,678.49,121,169.62
14201,7,747.44,60,106.78
18168,6,1169.94,176,194.99
18230,7,2810.2,9,401.46
17588,3,1240.2,100,413.4
13937,1,158.85,169,158.85
13302,1,63.75,155,63.75
12839,14,5591.42,2,399.39
15608,4,1093.68,28,273.42
17637,2,547.06,31,273.53
18158,2,453.4,9,226.7
15392,4,1535.53,4,383.88
15755,6,2364.25,10,394.04
13782,6,912,12,152
12519,1,340.84,63,340.84
12381,5,1845.31,4,369.06
14776,11,2538.3,51,230.75
16298,3,598.2,22,199.4
16170,6,1885.05,50,314.18
16601,1,244.8,40,244.8
15793,3,965.61,14,321.87
14592,3,570.46,35,190.15
14936,8,8137.02,33,1017.13
15021,9,1914.82,8,212.76
13571,12,2092.32,12,174.36
13277,4,258.4,15,64.6
15720,1,598.73,24,598.73
14102,5,1360.28,5,272.06
15218,11,5756.89,10,523.35
17426,6,5037.26,8,839.54
13098,28,28882.44,1,1031.52
18073,12,3877.52,114,323.13
13016,3,789.89,73,263.3
13255,2,399.51,9,199.76
16719,7,1790.42,14,255.77
14479,2,316.25,253,158.13
13295,1,201.2,359,201.2
12691,6,1035.8,28,172.63
14329,7,5014.84,17,716.41
13396,2,1360.99,29,680.5
14176,4,576.9,297,144.23
15712,5,1072.36,9,214.47
13610,7,1131.88,12,161.7
13752,6,1186.28,124,197.71
15489,3,1134.28,22,378.09
13192,2,911.94,95,455.97
13529,2,307.76,78,153.88
12524,8,4485.72,9,560.72
17715,1,326.4,200,326.4
16205,4,761.38,30,190.35
15069,1,1109.53,179,1109.53
17848,9,901.2,81,100.13
15640,15,12515.66,4,834.38
14088,13,50491.81,10,3883.99
13621,1,213.85,116,213.85
16419,6,972.23,112,162.04
16278,1,566.38,100,566.38
18116,8,1418.03,67,177.25
15208,5,870.12,1,174.02
14312,6,1611.59,46,268.6
17186,2,144,46,72
16513,4,874.59,4,218.65
13147,4,712.8,10,178.2
14582,1,114.11,40,114.11
14167,4,574.84,39,143.71
14401,13,4051.48,4,311.65
12362,10,5226.23,3,522.62
17015,3,1842.56,28,614.19
14715,4,867.38,24,216.85
14950,1,371.2,19,371.2
13579,2,467.04,14,233.52
13658,5,2639.17,9,527.83
17861,8,2100.8,3,262.6
13108,1,350.06,372,350.06
17580,3,215.72,252,71.91
17365,8,4801.56,12,600.2
13246,6,1987.3,18,331.22
17849,4,605.8,218,151.45
16838,2,588.85,197,294.43
15998,5,3089.97,36,617.99
14030,8,2360.09,18,295.01
18231,5,2083.27,192,416.65
14209,6,2073.43,10,345.57
14896,2,468.77,204,234.39
14287,3,176.63,8,58.88
13575,5,732.07,23,146.41
13037,3,881.07,138,293.69
14720,3,663.81,5,221.27
13375,1,778.65,88,778.65
16279,3,1509.58,21,503.19
17193,7,1699.3,35,242.76
17686,7,5739.46,7,819.92
14947,2,290.82,72,145.41
17957,1,111.68,66,111.68
14923,1,749.1,50,749.1
14035,5,1428.02,28,285.6
12433,7,13375.87,0,1910.84
13812,3,539,42,179.67
12577,3,657.8,35,219.27
12783,6,2225.91,2,370.99
18034,2,422.88,21,211.44
14424,1,322.08,17,322.08
17254,2,272.44,4,136.22
13253,2,1030.4,156,515.2
14514,3,1055.35,61,351.78
16043,4,773.99,37,193.5
17572,4,226.75,71,56.69
15768,3,621.83,115,207.28
13946,3,561.57,79,187.19
12360,3,2662.06,52,887.35
17935,2,145.79,138,72.9
13995,5,1393.69,15,278.74
14124,1,419.58,84,419.58
17079,1,118.8,78,118.8
15301,12,5070.35,50,422.53
14504,4,673.26,47,168.32
15526,2,148.44,33,74.22
17348,5,1159.52,14,231.9
12462,2,1189.59,18,594.8
12915,2,363.65,148,181.83
17499,1,622.88,289,622.88
14046,1,154.99,284,154.99
14224,4,1050.12,110,262.53
17169,2,835.78,57,417.89
17926,2,397.29,133,198.65
13925,4,678.25,92,169.56
17070,1,312.14,114,312.14
17920,17,4204.1,4,247.3
18273,3,204,2,68
17347,1,228.96,86,228.96
15417,1,508.8,85,508.8
13979,1,869.87,73,869.87
16693,2,482.01,68,241.01
16120,4,1309.14,59,327.29
13917,2,272.04,49,136.02
16612,4,1187.66,32,296.92
15573,2,607.45,31,303.73
15814,4,1945.33,16,486.33
12488,3,1298.66,9,432.89
16665,1,135.4,362,135.4
17035,2,433.53,245,216.77
15841,4,1224.06,72,306.02
13642,1,354.8,215,354.8
14163,4,2445.91,87,611.48
12581,1,197.71,39,197.71
16716,2,901.2,266,450.6
17115,3,837.5,8,279.17
15258,2,623.16,168,311.58
18048,2,172.29,203,86.15
15349,2,473.81,158,236.91
12816,2,572.2,95,286.1
13116,1,501.14,138,501.14
14331,2,462.66,124,231.33
16340,1,549.07,107,549.07
15978,1,1098.78,77,1098.78
16169,4,1822.97,8,455.74
14801,1,193.14,61,193.14
15836,1,137.37,50,137.37
18081,3,343.45,36,114.48
16505,1,777.6,31,777.6
15100,3,876,333,292
16596,2,250.15,15,125.08
16519,2,215.08,25,107.54
17673,6,1629.12,1,271.52
16938,4,2736.38,8,684.1
12844,2,325.96,29,162.98
15748,1,149.31,40,149.31
15556,1,279.77,24,279.77
16482,1,220.62,15,220.62
12479,1,527.2,11,527.2
14960,2,221.27,8,110.64
14138,2,982.38,1,491.19
14142,1,311.81,373,311.81
15332,4,1661.06,366,415.27
15395,1,107.45,325,107.45
14555,2,324.14,57,162.07
16471,1,223.95,274,223.95
18080,2,1231.5,18,615.75
13308,3,1385.51,22,461.84
17768,3,2273.18,8,757.73
13761,2,1070.65,50,535.33
15597,1,324.57,35,324.57
15399,3,815.77,1,271.92
17516,5,768.08,15,153.62
17590,3,1479.22,2,493.07
14821,1,48.8,366,48.8
15789,1,351.3,358,351.3
14068,1,265.85,320,265.85
17574,1,185.65,242,185.65
16370,4,1320.56,82,330.14
13699,1,308.58,155,308.58
12534,1,1089.18,130,1089.18
13645,1,252.1,120,252.1
18030,2,230.65,4,115.33
15385,1,316.88,40,316.88
18014,1,166.42,28,166.42
15985,2,1142.42,123,571.21
17022,1,71,31,71
15136,4,1286.7,2,321.68
15699,1,309.65,17,309.65
16535,1,593.75,5,593.75
17956,1,12.75,249,12.75
16282,1,168.3,339,168.3
16927,3,543.05,115,181.02
17438,1,388.45,253,388.45
13291,1,361.11,155,361.11
17919,1,1304.04,88,1304.04
13449,1,291.88,23,291.88
13298,1,360,1,360
13572,1,1384.25,205,1384.25
13826,1,189.5,176,189.5
14557,1,788.38,85,788.38
17806,1,546.04,11,546.04
16658,1,123.24,368,123.24
16073,1,122.4,297,122.4
13501,1,1340.32,288,1340.32
13474,1,229.59,236,229.59
13657,2,382.14,10,191.07
15372,1,2007.4,137,2007.4
12513,1,612.29,112,612.29
16017,1,211.88,47,211.88
14082,1,182.25,364,182.25
13162,4,1688.29,122,422.07
12831,1,215.05,262,215.05
15016,1,170.04,172,170.04
17649,1,868.49,138,868.49
13273,1,138.98,113,138.98
13980,1,200.14,60,200.14
14087,1,194.42,2,194.42
16552,2,379.73,242,189.87
16274,1,357.95,373,357.95
17884,4,717.45,3,179.36
18178,4,1590.81,128,397.7
13874,1,540.45,358,540.45
14051,23,15610.39,0,678.71
15570,12,4165.52,7,347.13
16842,3,1264.19,100,421.4
13489,4,449.52,105,112.38
18108,1,271,254,271
13484,1,313.8,241,313.8
18078,2,336.13,217,168.07
17581,25,11045.04,0,441.8
13695,15,2504.13,31,166.94
12474,18,7375.79,17,409.77
16497,6,2965.69,49,494.28
12415,21,124914.53,24,5948.31
18229,20,7276.9,11,363.85
12359,4,6372.58,57,1593.15
17966,5,1098.43,37,219.69
17234,1,149.89,182,149.89
13420,2,159.85,149,79.93
13999,12,3901.81,10,325.15
17837,8,1593.38,42,199.17
18024,2,389.78,152,194.89
13225,7,6463.84,3,923.41
14609,4,601.56,72,150.39
17054,5,1356.33,28,271.27
13194,1,60.7,135,60.7
15232,2,612.06,113,306.03
15938,5,404.58,112,80.92
16952,2,167.61,109,83.81
16474,7,1871.5,7,267.36
12921,37,16587.09,9,448.3
16493,4,1351.63,79,337.91
14141,4,915.13,2,228.78
12431,15,6487.45,35,432.5
16358,4,2027.5,1,506.88
16430,1,300.85,57,300.85
16542,1,119.62,53,119.62
17404,15,31906.82,4,2127.12
16737,1,417.6,53,417.6
18044,10,2088.6,4,208.86
17387,2,784.11,19,392.06
14517,2,330.45,33,165.23
17430,2,265.76,32,132.88
16979,6,1852,3,308.67
15051,3,1391.61,23,463.87
17675,31,20374.28,1,657.23
13428,1,218.47,10,218.47
18085,2,689.95,330,344.98
14409,6,2059.45,71,343.24
14040,12,3614.92,40,301.24
16407,10,2126.93,12,212.69
15827,14,1836.09,73,131.15
15236,1,321.05,298,321.05
16349,1,53.5,290,53.5
16477,7,2494.46,63,356.35
13736,2,731.9,5,365.95
17058,3,1179.89,81,393.3
17930,5,1740.48,35,348.1
12821,1,92.72,214,92.72
13631,11,3070.42,99,279.13
13227,1,257.7,201,257.7
16872,3,680.02,77,226.67
18069,5,2036.67,26,407.33
13870,8,2770.94,2,346.37
16316,8,2938.91,64,367.36
14388,8,3212.84,10,401.61
13316,4,5977.73,37,1494.43
13075,1,919.61,129,919.61
16816,4,417.06,103,104.27
14208,1,151.74,94,151.74
16379,4,2157.4,4,539.35
13126,8,2099.64,4,262.46
12886,2,1378.4,67,689.2
15255,1,890.85,66,890.85
15886,1,181.09,60,181.09
13858,1,216.17,57,216.17
13897,1,311.16,50,311.16
13685,7,3119.44,2,445.63
16877,6,853.72,12,142.29
17538,1,98.42,25,98.42
17096,4,1022.13,15,255.53
13203,4,869.46,9,217.37
13159,4,1437.85,8,359.46
14503,6,3543.26,3,590.54
13630,7,2031.78,5,290.25
18017,3,523,81,174.33
17787,4,1865.19,152,466.3
15919,2,639.89,19,319.95
17616,3,571.2,173,190.4
13092,5,477.83,70,95.57
12494,7,1246.1,15,178.01
14373,1,76.55,358,76.55
12561,1,238.85,302,238.85
16566,5,614.66,15,122.93
18225,12,5509.12,3,459.09
13462,1,151.5,252,151.5
15145,4,1194.73,4,298.68
16146,3,734.13,157,244.71
15532,4,1580.93,25,395.23
13933,2,608.79,109,304.4
16102,3,1842.14,42,614.05
13518,1,659.44,85,659.44
13247,4,501.12,17,125.28
15744,1,34.8,77,34.8
18053,1,300.02,70,300.02
17410,5,1214.72,16,242.94
16768,3,478.09,47,159.36
12832,2,383.03,32,191.52
12518,5,2056.89,0,411.38
16678,12,3109.99,2,259.17
15782,3,2614.74,9,871.58
15467,3,524.88,9,174.96
13309,5,1456.79,7,291.36
12367,1,168.9,4,168.9
17434,7,2373.82,2,339.12
12855,1,38.1,372,38.1
12872,2,599.97,326,299.99
17194,2,262.62,273,131.31
14669,3,1269.99,241,423.33
17117,1,116.2,288,116.2
16414,2,126.25,21,63.13
14747,1,328.2,249,328.2
13592,4,247.96,35,61.99
18268,1,25.5,134,25.5
12710,3,1149.02,96,383.01
16820,1,497.61,95,497.61
17564,3,454.01,24,151.34
18242,4,2232.49,72,558.12
16776,1,388.28,60,388.28
12371,2,1887.96,44,943.98
15478,2,1441.42,40,720.71
14607,14,16569.5,15,1183.54
13028,2,661.32,22,330.66
14528,1,364.22,37,364.22
16318,1,328.15,35,328.15
16506,2,90.3,19,45.15
15172,5,1624.05,8,324.81
16442,3,616.79,1,205.6
13030,2,799.48,11,399.74
15808,4,3734.97,306,933.74
13815,4,4027.36,22,1006.84
16159,1,348.2,281,348.2
13707,2,806.41,267,403.21
16957,2,416.64,239,208.32
16794,10,1222.71,1,122.27
18150,3,566.58,32,188.86
14019,3,1421.61,46,473.87
14639,6,2984.49,52,497.42
16761,1,316.62,96,316.62
17602,6,5102.97,2,850.5
12394,2,1272.48,63,636.24
13876,1,122.7,63,122.7
15830,1,576,37,576
15452,3,538.73,29,179.58
17360,3,585.79,17,195.26
12657,4,1643.18,11,410.8
15983,4,1475.02,22,368.76
12672,1,225.9,329,225.9
14238,1,146.85,326,146.85
16085,5,981.51,23,196.3
15057,2,1489.5,275,744.75
17995,1,76.1,281,76.1
13452,2,590,259,295
15068,2,553.36,46,276.68
16633,6,2883.1,17,480.52
17723,6,3276.4,127,546.07
17585,4,1133.07,109,283.27
17408,1,32.65,163,32.65
14482,6,2068.15,18,344.69
13130,1,64,94,64
13994,6,2313.14,3,385.52
17469,5,1870.97,16,374.19
16613,1,618.59,70,618.59
12856,6,2179.93,7,363.32
16887,1,194.88,35,194.88
14073,1,151.04,32,151.04
13188,1,114.6,11,114.6
17925,1,244.08,372,244.08
14150,2,658.64,35,329.32
14530,6,2925.91,25,487.65
13249,3,711.41,92,237.14
13357,1,609.95,257,609.95
15063,1,370.8,213,370.8
12372,3,1298.04,71,432.68
14177,4,559.41,86,139.85
14236,2,490.86,80,245.43
14780,2,447.68,54,223.84
16971,1,357.21,38,357.21
16720,1,155.24,26,155.24
18084,1,90.48,16,90.48
13780,2,360.01,7,180.01
13373,3,3312.25,60,1104.08
12962,2,266.39,7,133.2
12649,3,623.51,107,207.84
18228,2,779.9,56,389.95
16056,1,664.85,45,664.85
16025,1,439.66,29,439.66
17301,1,197.63,21,197.63
14470,2,461.19,11,230.6
17720,4,1195.94,26,298.99
15894,2,263.55,253,131.78
15026,3,469,80,156.33
17597,1,2044.37,213,2044.37
14873,1,519.68,210,519.68
16906,4,579.77,81,144.94
15292,1,180.94,201,180.94
15739,1,449.12,66,449.12
17354,1,1393.06,50,1393.06
15096,1,219.39,42,219.39
15454,1,179.1,362,179.1
14867,3,710.28,185,236.76
14850,1,325.75,311,325.75
18227,1,93.75,217,93.75
14420,1,387.52,99,387.52
16413,1,262.2,56,262.2
15267,5,1717.36,22,343.47
12374,1,742.93,25,742.93
14336,4,1614.91,16,403.73
18071,2,453,257,226.5
14340,1,134.7,218,134.7
13193,1,117.88,61,117.88
18154,2,399.19,3,199.6
14349,1,133.5,10,133.5
15644,4,813,166,203.25
16193,1,314.45,236,314.45
13737,1,339.6,200,339.6
15261,1,254.82,135,254.82
16674,2,319.61,54,159.81
14753,1,563.15,87,563.15
15598,1,240.68,53,240.68
17221,2,335.13,7,167.57
16495,3,684.41,3,228.14
15316,1,165,326,165
17507,2,605.58,261,302.79
15104,2,1027.44,196,513.72
17578,1,143.46,218,143.46
15429,2,397.35,26,198.68
13260,1,557.62,61,557.62
14666,1,195.25,24,195.25
18006,1,444.68,23,444.68
14219,1,89.94,4,89.94
13151,1,1257.87,295,1257.87
13226,1,108.21,273,108.21
15143,1,259.45,225,259.45
12694,2,869.67,70,434.84
15256,1,98.45,148,98.45
13067,1,115.46,82,115.46
13170,1,116.01,26,116.01
12652,1,919.98,331,919.98
16084,1,436.18,299,436.18
16739,1,323,176,323
12837,1,134.1,173,134.1
15041,1,180.35,170,180.35
14355,1,174.4,365,174.4
17714,1,153,320,153
12864,1,147.12,138,147.12
16213,1,159,78,159
15277,1,255.9,46,255.9
17850,34,5391.21,372,158.57
14911,201,143825.06,1,715.55
12647,12,3722.82,22,310.24
18092,11,9068.26,2,824.39
13787,2,309.04,75,154.52
17799,10,3055.93,22,305.59
15845,8,3711.77,17,463.97
12736,1,234,332,234
13963,4,664.54,308,166.14
13089,97,58825.83,2,606.45
15415,1,572.81,313,572.81
12908,2,750,176,375
13939,3,568.55,23,189.52
18102,60,259657.3,0,4327.62
16037,3,855.02,269,285.01
14803,3,845.55,162,281.85
16912,11,2575.38,28,234.13
17107,6,10815.43,33,1802.57
15023,11,6802.76,3,618.43
17639,1,108.5,276,108.5
16801,4,1619.73,163,404.93
17515,4,639.02,31,159.76
14127,3,709.71,122,236.57
15129,11,3447.4,50,313.4
12717,2,1030.98,151,515.49
16393,13,3046.21,2,234.32
16103,6,1429.64,7,238.27
17954,12,2332.72,5,194.39
13475,4,1431.78,191,357.95
18133,1,931.5,212,931.5
15732,2,294.12,212,147.06
14651,2,654.6,67,327.3
16153,5,1824.23,49,364.85
13618,1,177.34,173,177.34
14808,8,2741.17,39,342.65
15550,4,575.63,4,143.91
14895,20,11138.71,7,556.94
13705,3,711.86,7,237.29
12853,6,1957.1,134,326.18
14407,6,2157.73,107,359.62
15800,2,699.08,107,349.54
15187,16,4777.18,1,298.57
15144,17,6580.44,8,387.08
15984,10,2837.67,2,283.77
14057,17,6217.96,23,365.76
16160,2,1025.44,65,512.72
15858,5,1438.85,15,287.77
17965,14,2622.57,37,187.33
14640,6,2125.08,24,354.18
16491,1,731.5,46,731.5
17001,11,3989.57,0,362.69
16969,3,650.41,39,216.8
12849,2,1050.89,31,525.45
16041,3,3166.4,30,1055.47
13460,2,183.44,29,91.72
13846,3,865.06,24,288.35
15298,12,4799.9,2,399.99
12936,4,1063.9,17,265.98
17624,2,843.48,14,421.74
13269,15,5346.23,1,356.42
16496,3,1599.52,8,533.17
17350,4,1286.07,8,321.52
17412,7,1258.06,2,179.72
14739,7,3902.28,4,557.47
17937,7,4301.22,8,614.46
15224,2,322.08,358,161.04
17913,2,411.6,58,205.8
12386,2,401.9,337,200.95
18061,10,2119.41,21,211.94
17711,2,385.1,10,192.55
12753,6,21429.39,22,3571.57
13451,5,2976.15,26,595.23
13199,38,9817.12,3,258.35
12681,22,13787.54,14,626.71
15777,4,1047.11,241,261.78
16652,7,6773.97,58,967.71
12754,3,3010.74,235,1003.58
16466,7,1603.46,33,229.07
16187,15,6911.44,31,460.76
12464,8,1212.05,10,151.51
17719,15,5396.04,37,359.74
16774,4,661.52,67,165.38
15578,1,127.1,162,127.1
13583,1,781.03,155,781.03
12833,1,417.38,145,417.38
16637,4,1154.47,32,288.62
14006,3,962.19,115,320.73
14918,2,1610.15,115,805.08
15290,18,7943.22,4,441.29
16093,1,17,106,17
16983,7,1931.25,12,275.89
12685,6,2863.08,28,477.18
13364,1,134.96,71,134.96
12523,11,1789.77,19,162.71
15473,7,1771.2,14,253.03
13363,2,992.5,17,496.25
16416,3,1051.4,26,350.47
13018,28,7277.7,16,259.92
16804,3,536.99,23,179
13880,13,3219.77,21,247.67
15988,1,158.03,19,158.03
15163,2,304.47,18,152.24
16620,2,178.96,3,89.48
13747,1,79.6,373,79.6
12726,7,2609.1,28,372.73
16270,1,1141.24,353,1141.24
15174,1,135.75,322,135.75
16378,3,362.95,247,120.98
16980,2,1078.96,255,539.48
16766,2,1145.6,273,572.8
16115,8,1667.97,9,208.5
13934,1,922.1,263,922.1
12408,5,2888.55,32,577.71
16623,1,129.45,245,129.45
16639,3,1257.51,31,419.17
12683,15,8476.57,4,565.1
15098,3,39916.5,182,13305.5
