CUSTOMERID,RECENCYDAYS,FREQUENCY,MONETARY,R_SCORE,F_SCORE,M_SCORE,RFM_SEGMENT
12588,39,1,214.9,3,2,1,09_Other Segments
12589,28,2,646.68,3,2,2,07_Needs Attention
12590,211,2,9864.26,1,2,4,09_Other Segments
12591,317,1,452.85,1,2,2,08_Lost Customers
12592,92,2,437.6,2,2,2,07_Needs Attention
12593,108,3,418.1,2,3,2,07_Needs Attention
12594,37,10,3338.22,3,4,4,02_Loyal Customers
12596,51,2,618.27,2,2,2,07_Needs Attention
12597,19,4,3811.22,3,3,4,02_Loyal Customers
12598,9,8,3023.08,4,4,4,01_Champions
12599,29,7,1032.58,3,4,3,02_Loyal Customers
12600,28,10,2599.04,3,4,4,02_Loyal Customers
12601,189,5,577.06,1,4,2,09_Other Segments
12602,58,1,153.12,2,1,1,09_Other Segments
12603,21,1,739.2,3,1,3,09_Other Segments
12604,79,2,254.18,2,2,1,09_Other Segments
12607,60,1,1579.51,2,1,3,09_Other Segments
12609,78,3,1126.85,2,3,3,06_At Risk
12610,22,5,2099.54,3,4,4,02_Loyal Customers
12611,52,1,1193.32,2,1,3,09_Other Segments
12612,74,1,704.04,2,1,3,09_Other Segments
12613,57,5,3344.38,2,4,4,03_Promising
12614,277,1,315.6,1,1,2,08_Lost Customers
12615,2,4,2291.19,4,3,4,02_Loyal Customers
12616,95,2,713.3,2,2,3,07_Needs Attention
12617,29,1,355.53,3,2,2,07_Needs Attention
12618,21,1,177.31,3,1,1,09_Other Segments
12619,16,9,3641.24,4,4,4,01_Champions
12620,14,3,1339.41,4,3,3,02_Loyal Customers
12621,1,20,13689.67,4,4,4,01_Champions
12622,232,1,180.1,1,1,1,08_Lost Customers
12623,276,1,305.1,1,2,1,08_Lost Customers
12624,106,2,641.13,2,2,2,07_Needs Attention
12625,211,2,2683.82,1,2,4,09_Other Segments
12626,23,9,6620.48,3,4,4,02_Loyal Customers
12627,10,7,4478.53,4,4,4,01_Champions
12628,4,3,786.46,4,3,3,02_Loyal Customers
12630,9,2,1270.88,4,2,3,03_Promising
12631,57,1,640.5,2,1,2,09_Other Segments
12633,58,4,2163.98,2,3,4,06_At Risk
12635,89,2,1689.18,2,2,4,09_Other Segments
12637,67,8,6021.9,2,4,4,03_Promising
12638,33,1,671.69,3,1,2,09_Other Segments
12639,238,1,486.1,1,1,2,08_Lost Customers
12640,23,3,1174.58,3,3,3,02_Loyal Customers
12641,115,1,185.9,2,1,1,09_Other Segments
12642,25,3,1013.26,3,3,3,02_Loyal Customers
12643,128,6,3344.64,2,4,4,03_Promising
12644,129,1,477.91,2,2,2,07_Needs Attention
12645,33,4,1775.18,3,3,4,02_Loyal Customers
12646,4,2,1346.97,4,2,3,03_Promising
12647,22,12,3722.82,3,4,4,02_Loyal Customers
12648,154,1,318.05,1,1,2,08_Lost Customers
12649,107,3,623.51,2,3,2,07_Needs Attention
12650,3,1,314.44,4,1,2,09_Other Segments
12651,334,1,114,1,1,1,08_Lost Customers
12652,331,1,919.98,1,1,3,09_Other Segments
12653,148,2,2209.85,1,2,4,09_Other Segments
12654,10,5,601.98,4,4,2,09_Other Segments
12656,17,5,4051.17,3,4,4,02_Loyal Customers
12657,11,4,1643.18,4,3,3,02_Loyal Customers
12658,18,1,686.05,3,1,3,09_Other Segments
12659,29,1,91.68,3,1,1,09_Other Segments
12660,11,1,245.1,4,2,1,09_Other Segments
12662,0,11,3849.78,4,4,4,01_Champions
12664,8,9,4881.88,4,4,4,01_Champions
12665,324,1,63,1,1,1,08_Lost Customers
12667,58,1,620.13,2,1,2,09_Other Segments
12668,11,4,3807.15,4,3,4,02_Loyal Customers
12669,150,3,2744.03,1,3,4,06_At Risk
12670,10,5,2996.05,4,4,4,01_Champions
12672,329,1,225.9,1,1,1,08_Lost Customers
12673,5,2,610.52,4,2,2,03_Promising
12674,38,4,1970.6,3,3,4,02_Loyal Customers
12676,24,6,1331.39,3,4,3,02_Loyal Customers
12678,42,12,17628.46,3,4,4,02_Loyal Customers
12679,58,4,1113.02,2,3,3,06_At Risk
12680,0,4,862.81,4,3,3,02_Loyal Customers
12681,14,22,13787.54,4,4,4,01_Champions
12682,3,31,12288.22,4,4,4,01_Champions
12683,4,15,8476.57,4,4,4,01_Champions
12684,7,7,2283.63,4,4,4,01_Champions
12685,28,6,2863.08,3,4,4,02_Loyal Customers
12686,371,1,89.14,1,1,1,08_Lost Customers
12688,113,1,4873.81,2,2,4,09_Other Segments
12689,25,2,1247.61,3,2,3,07_Needs Attention
12690,205,1,389.01,1,2,2,08_Lost Customers
12691,28,6,1035.8,3,4,3,02_Loyal Customers
12693,127,4,855.91,2,3,3,06_At Risk
12694,70,2,869.67,2,3,3,06_At Risk
12695,7,4,582.1,4,3,2,03_Promising
12697,28,3,957.59,3,3,3,02_Loyal Customers
12700,7,4,4939.99,4,3,4,02_Loyal Customers
12701,79,2,797.71,2,2,3,07_Needs Attention
12702,19,1,219,3,1,1,09_Other Segments
12703,71,1,283.55,2,1,1,09_Other Segments
12704,7,8,2340.84,4,4,4,01_Champions
12705,15,9,6868.29,4,4,4,01_Champions
12707,291,1,603.42,1,1,2,08_Lost Customers
12708,29,10,2712.91,3,4,4,02_Loyal Customers
12709,15,15,9736.52,4,4,4,01_Champions
12710,96,3,1149.02,2,3,3,06_At Risk
12712,28,13,4396.13,3,4,4,02_Loyal Customers
12713,0,1,848.55,4,2,3,03_Promising
12714,9,5,4708.86,4,4,4,01_Champions
12715,106,1,353.86,2,1,2,09_Other Segments
12716,3,2,1053.49,4,2,3,03_Promising
12717,151,2,1030.98,1,3,3,06_At Risk
12718,71,1,238.25,2,1,1,09_Other Segments
12719,5,2,644.95,4,2,2,03_Promising
12720,2,25,5781.73,4,4,4,01_Champions
12721,31,6,2656.13,3,4,4,02_Loyal Customers
12722,85,4,997.63,2,3,3,06_At Risk
12723,3,5,725.07,4,4,3,02_Loyal Customers
12724,5,4,1031.41,4,3,3,02_Loyal Customers
12725,371,1,427.8,1,1,2,08_Lost Customers
12726,28,7,2609.1,3,4,4,02_Loyal Customers
12727,10,7,3980.7,4,4,4,01_Champions
12728,71,4,836.33,2,3,3,06_At Risk
12729,113,1,453.01,2,1,2,09_Other Segments
12731,23,12,18895.91,3,4,4,02_Loyal Customers
12732,179,1,236.26,1,1,1,08_Lost Customers
12733,234,1,383.95,1,1,2,08_Lost Customers
12734,352,1,110.4,1,2,1,08_Lost Customers
12735,315,2,779.57,1,3,3,06_At Risk
12736,332,1,234,1,1,1,08_Lost Customers
12738,372,1,155.35,1,1,1,08_Lost Customers
12739,78,2,1013.04,2,2,3,07_Needs Attention
12740,63,1,427.6,2,1,2,09_Other Segments
12743,134,2,546.43,2,2,2,07_Needs Attention
12744,51,7,21279.29,2,4,4,03_Promising
12747,2,11,4196.01,4,4,4,01_Champions
12748,0,209,33719.73,4,4,4,01_Champions
12749,3,5,4090.88,4,4,4,01_Champions
12750,128,1,275.88,2,1,1,09_Other Segments
12752,81,1,4366.78,2,1,4,09_Other Segments
12753,22,6,21429.39,3,4,4,02_Loyal Customers
12754,235,3,3010.74,1,3,4,06_At Risk
12755,280,2,3811.95,1,3,4,06_At Risk
12756,86,1,112.08,2,1,1,09_Other Segments
12757,15,13,7857.1,4,4,4,01_Champions
12758,116,2,2791.59,2,2,4,09_Other Segments
12759,52,3,1531.44,2,3,3,06_At Risk
12762,7,2,1898.52,4,2,4,05_Big Spenders
12763,138,2,494.08,2,2,2,07_Needs Attention
12764,316,1,1693.88,1,1,4,09_Other Segments
12766,3,7,6989.63,4,4,4,01_Champions
12769,238,1,1143.6,1,2,3,09_Other Segments
12770,210,1,1351.45,1,2,3,09_Other Segments
12772,59,1,892.47,2,1,3,09_Other Segments
12775,17,5,1386.04,4,4,3,02_Loyal Customers
12778,19,6,822.23,3,4,3,02_Loyal Customers
12779,37,8,3981.36,3,4,4,02_Loyal Customers
12781,63,2,826.74,2,2,3,07_Needs Attention
12782,4,5,2330.92,4,4,4,01_Champions
12783,2,6,2225.91,4,4,4,01_Champions
12784,9,2,574.42,4,2,2,03_Promising
12785,364,1,311.95,1,2,2,08_Lost Customers
12787,9,3,463.66,4,3,2,03_Promising
12789,65,1,91.85,2,2,1,09_Other Segments
12790,192,1,324.92,1,2,2,08_Lost Customers
12791,373,1,192.6,1,1,1,08_Lost Customers
12792,256,1,400.54,1,1,2,08_Lost Customers
12793,334,2,545.48,1,2,2,08_Lost Customers
12794,53,2,860.41,2,2,3,07_Needs Attention
12795,18,1,430.48,3,1,2,09_Other Segments
12797,365,1,254.03,1,1,1,08_Lost Customers
12798,10,3,6977.04,4,3,4,02_Loyal Customers
12802,186,1,427.58,1,2,2,08_Lost Customers
12808,36,3,483.65,3,3,2,07_Needs Attention
12809,177,1,489.31,1,1,2,08_Lost Customers
12811,260,3,514.85,1,3,2,09_Other Segments
12812,44,1,229.64,3,1,1,09_Other Segments
12814,101,1,125.92,2,1,1,09_Other Segments
12815,147,2,1063.46,1,2,3,09_Other Segments
12816,95,2,572.2,2,3,2,07_Needs Attention
12817,281,1,166.04,1,1,1,08_Lost Customers
12818,261,1,1542.08,1,1,3,09_Other Segments
12820,3,4,942.34,4,3,3,02_Loyal Customers
12821,214,1,92.72,1,1,1,08_Lost Customers
12822,70,2,948.88,2,2,3,07_Needs Attention
12823,74,5,1759.5,2,4,4,03_Promising
12824,59,1,397.12,2,1,2,09_Other Segments
12826,2,7,1474.72,4,4,3,02_Loyal Customers
12827,5,3,430.15,4,3,2,03_Promising
12828,2,6,1018.71,4,4,3,02_Loyal Customers
12829,336,2,293,1,2,1,08_Lost Customers
12830,37,6,6814.64,3,4,4,02_Loyal Customers
12831,262,1,215.05,1,1,1,08_Lost Customers
12832,32,2,383.03,3,3,2,07_Needs Attention
12833,145,1,417.38,1,1,2,08_Lost Customers
12834,282,1,312.38,1,1,2,08_Lost Customers
12836,59,4,2612.86,2,3,4,06_At Risk
12837,173,1,134.1,1,1,1,08_Lost Customers
12838,33,2,683.13,3,2,3,07_Needs Attention
12839,2,14,5591.42,4,4,4,01_Champions
12840,143,4,2726.77,1,3,4,06_At Risk
12841,4,25,4022.35,4,4,4,01_Champions
12842,70,2,1118.99,2,2,3,07_Needs Attention
12843,65,8,1702.26,2,4,4,03_Promising
12844,29,2,325.96,3,3,2,07_Needs Attention
12845,267,4,354.09,1,3,2,09_Other Segments
12847,22,1,871.54,3,1,3,09_Other Segments
12849,31,2,1050.89,3,3,3,02_Loyal Customers
12851,96,1,135.18,2,1,1,09_Other Segments
12852,294,1,311.55,1,1,2,08_Lost Customers
12853,134,6,1957.1,2,4,4,03_Promising
12854,78,3,1324.5,2,3,3,06_At Risk
12855,372,1,38.1,1,1,1,08_Lost Customers
12856,7,6,2179.93,4,4,4,01_Champions
12857,210,2,1106.4,1,2,3,09_Other Segments
12863,52,1,521.2,2,1,2,09_Other Segments
12864,138,1,147.12,2,1,1,09_Other Segments
12865,26,2,1568.23,3,2,3,07_Needs Attention
12866,283,1,559.12,1,1,2,08_Lost Customers
12867,26,7,4036.82,3,4,4,02_Loyal Customers
12868,185,6,1607.06,1,4,3,06_At Risk
12871,84,2,380.64,2,2,2,07_Needs Attention
12872,326,2,599.97,1,3,2,09_Other Segments
12873,282,1,374,1,1,2,08_Lost Customers
12875,143,2,343.23,1,2,2,08_Lost Customers
12876,57,2,2218.02,2,3,4,06_At Risk
12877,3,12,1535.77,4,4,3,02_Loyal Customers
12878,236,2,854.99,1,2,3,09_Other Segments
12879,44,3,573.22,3,3,2,07_Needs Attention
12881,275,1,298,1,1,1,08_Lost Customers
12882,9,2,1463.04,4,2,3,03_Promising
12883,24,4,703.47,3,3,3,02_Loyal Customers
12884,88,1,309.05,2,1,2,09_Other Segments
12885,63,3,1175.22,2,3,3,06_At Risk
12886,67,2,1378.4,2,3,3,06_At Risk
12888,214,2,354.12,1,2,2,08_Lost Customers
12890,24,1,380.47,3,1,2,09_Other Segments
12891,185,3,331,1,3,2,09_Other Segments
12893,30,1,188.14,3,1,1,09_Other Segments
12895,42,2,372.8,3,2,2,07_Needs Attention
12897,204,2,216.5,1,2,1,08_Lost Customers
12901,8,28,17654.54,4,4,4,01_Champions
12902,264,1,138.68,1,1,1,08_Lost Customers
12904,18,2,509.58,3,3,2,07_Needs Attention
12906,11,5,2919.81,4,4,4,01_Champions
12908,176,2,750,1,3,3,06_At Risk
12909,39,5,2178.67,3,4,4,02_Loyal Customers
12910,23,8,3075.04,3,4,4,02_Loyal Customers
12912,2,5,1662.3,4,4,4,01_Champions
12913,4,5,2483.63,4,4,4,01_Champions
12915,148,2,363.65,1,3,2,09_Other Segments
12916,138,4,3006.15,2,3,4,06_At Risk
12917,128,1,594,2,1,2,09_Other Segments
12919,8,6,1335.19,4,4,3,02_Loyal Customers
12920,17,1,164.23,4,1,1,04_New Customers
12921,9,37,16587.09,4,4,4,01_Champions
12922,161,1,405.38,1,1,2,08_Lost Customers
12923,64,1,176.97,2,1,1,09_Other Segments
12924,88,4,933.7,2,3,3,06_At Risk
12925,4,2,694.05,4,2,3,03_Promising
12928,35,5,2062.7,3,4,4,02_Loyal Customers
12929,311,1,117.85,1,1,1,08_Lost Customers
12930,78,2,415.8,2,2,2,07_Needs Attention
12931,21,15,42055.96,3,4,4,02_Loyal Customers
12933,24,3,607.53,3,3,2,07_Needs Attention
12935,2,7,2160.7,4,4,4,01_Champions
12936,17,4,1063.9,4,3,3,02_Loyal Customers
12937,15,4,1504.27,4,3,3,02_Loyal Customers
12938,25,1,114.14,3,1,1,09_Other Segments
12939,64,8,11581.8,2,4,4,03_Promising
12940,54,2,913.54,2,2,3,07_Needs Attention
12942,131,3,683.9,2,3,3,06_At Risk
12944,35,2,604.51,3,2,2,07_Needs Attention
12945,288,1,462.95,1,1,2,08_Lost Customers
12947,143,6,1603.99,1,4,3,06_At Risk
12948,16,7,2064.95,4,4,4,01_Champions
12949,30,8,4167.22,3,4,4,02_Loyal Customers
12950,2,3,1843,4,3,4,02_Loyal Customers
12951,8,6,1064.07,4,4,3,02_Loyal Customers
12952,5,4,1387.79,4,3,3,02_Loyal Customers
12953,9,1,329.85,4,2,2,03_Promising
12955,1,11,4757.16,4,4,4,01_Champions
12956,306,1,108.07,1,1,1,08_Lost Customers
12957,9,8,4017.54,4,4,4,01_Champions
12962,7,2,266.39,4,3,1,09_Other Segments
12963,8,8,1856.63,4,4,4,01_Champions
12965,89,1,771.91,2,1,3,09_Other Segments
12966,9,1,160.18,4,1,1,04_New Customers
12967,358,2,1660.9,1,2,3,09_Other Segments
12968,112,1,135.95,2,1,1,09_Other Segments
12970,7,4,452.24,4,3,2,03_Promising
12971,3,86,11189.91,4,4,4,01_Champions
12974,197,1,144.8,1,1,1,08_Lost Customers
12976,211,1,738.6,1,1,3,09_Other Segments
12977,156,1,39.24,1,1,1,08_Lost Customers
12980,157,9,7374.9,1,4,4,06_At Risk
12981,29,2,372.22,3,2,2,07_Needs Attention
12982,242,1,390.54,1,1,2,08_Lost Customers
12984,18,1,97.5,3,2,1,09_Other Segments
12985,0,2,1239.38,4,2,3,03_Promising
12987,73,2,558.7,2,2,2,07_Needs Attention
12988,292,1,535.32,1,2,2,08_Lost Customers
12989,3,15,6924.11,4,4,4,01_Champions
12990,31,3,409.5,3,3,2,07_Needs Attention
12991,23,2,503.76,3,2,2,07_Needs Attention
12993,23,4,414.76,3,3,2,07_Needs Attention
12994,4,3,974.42,4,3,3,02_Loyal Customers
12995,85,1,211.32,2,1,1,09_Other Segments
12997,22,4,1226.89,3,3,3,02_Loyal Customers
12999,196,3,455.88,1,3,2,09_Other Segments
13000,106,3,534.85,2,3,2,07_Needs Attention
13001,4,13,9818.82,4,4,4,01_Champions
13002,318,1,120.95,1,1,1,08_Lost Customers
13003,105,3,149.05,2,3,1,09_Other Segments
13004,11,18,5655.91,4,4,4,01_Champions
13005,173,2,513.7,1,2,2,08_Lost Customers
13006,56,1,81.57,2,2,1,09_Other Segments
13008,323,1,229.47,1,2,1,08_Lost Customers
13011,372,1,50.55,1,1,1,08_Lost Customers
13012,9,8,1661.84,4,4,4,01_Champions
13013,1,13,4810.94,4,4,4,01_Champions
13014,10,10,3466.28,4,4,4,01_Champions
13015,53,5,3346.28,2,4,4,03_Promising
13016,73,3,789.89,2,3,3,06_At Risk
13017,7,1,204,4,1,1,04_New Customers
13018,16,28,7277.7,4,4,4,01_Champions
13021,4,9,2616.38,4,4,4,01_Champions
13023,64,2,689.9,2,2,3,07_Needs Attention
13026,1,5,975.36,4,3,3,02_Loyal Customers
13027,113,6,6912,2,4,4,03_Promising
13028,22,2,661.32,3,3,2,07_Needs Attention
13029,30,3,1247.5,3,3,3,02_Loyal Customers
13030,11,2,799.48,4,3,3,02_Loyal Customers
13032,52,2,1010.18,2,2,3,07_Needs Attention
13033,357,1,190.55,1,1,1,08_Lost Customers
13034,54,2,642.77,2,2,2,07_Needs Attention
13035,73,2,921.88,2,2,3,07_Needs Attention
13037,138,3,881.07,2,3,3,06_At Risk
13038,80,3,908.46,2,3,3,06_At Risk
13040,8,2,676.99,4,2,3,03_Promising
13043,273,1,516.42,1,2,2,08_Lost Customers
13044,291,1,560.47,1,2,2,08_Lost Customers
13045,99,1,305.28,2,1,1,09_Other Segments
13046,30,2,629.31,3,2,2,07_Needs Attention
13047,31,10,3237.54,3,4,4,02_Loyal Customers
13048,14,4,1835.91,4,3,4,02_Loyal Customers
13049,64,2,656.68,2,2,2,07_Needs Attention
13050,14,17,5836.86,4,4,4,01_Champions
13052,212,1,348.15,1,2,2,08_Lost Customers
13055,78,3,1214.41,2,3,3,06_At Risk
13058,24,3,271.4,3,3,1,09_Other Segments
